Time,Open,High,Low,Close,Volume
03.01.2004 19:00:00.000,107.030,107.060,106.880,106.920,640.00
04.01.2004 19:00:00.000,106.950,107.350,106.000,106.250,25242.00
05.01.2004 19:00:00.000,106.260,106.420,105.930,106.220,23389.00
06.01.2004 19:00:00.000,106.230,106.420,105.890,106.190,24101.00
07.01.2004 19:00:00.000,106.170,106.260,106.030,106.180,18428.00
08.01.2004 19:00:00.000,106.170,108.250,106.040,106.760,29402.00
09.01.2004 19:00:00.000,106.760,106.760,106.760,106.760,0.00
10.01.2004 19:00:00.000,106.760,106.760,106.520,106.590,1025.00
11.01.2004 19:00:00.000,106.580,106.750,106.290,106.600,28422.00
12.01.2004 19:00:00.000,106.610,106.610,106.080,106.220,29810.00
13.01.2004 19:00:00.000,106.240,106.330,105.920,106.240,33802.00
14.01.2004 19:00:00.000,106.230,106.500,105.940,106.270,35252.00
15.01.2004 19:00:00.000,106.290,107.000,105.700,106.600,33420.00
16.01.2004 19:00:00.000,106.600,106.600,106.600,106.600,0.00
17.01.2004 19:00:00.000,106.800,106.800,106.520,106.650,1998.00
18.01.2004 19:00:00.000,106.670,107.480,106.310,107.210,32389.00
19.01.2004 19:00:00.000,107.220,107.910,106.800,107.000,42488.00
20.01.2004 19:00:00.000,107.030,107.300,106.570,106.820,37795.00
21.01.2004 19:00:00.000,106.840,107.020,105.910,106.130,37867.00
22.01.2004 19:00:00.000,106.150,106.820,105.710,106.710,39595.00
23.01.2004 19:00:00.000,106.710,106.710,106.710,106.710,0.00
24.01.2004 19:00:00.000,106.750,106.750,106.390,106.700,1732.00
25.01.2004 19:00:00.000,106.710,106.710,105.760,106.370,40386.00
26.01.2004 19:00:00.000,106.380,106.390,105.430,105.620,38591.00
27.01.2004 19:00:00.000,105.630,106.610,105.420,106.140,39651.00
28.01.2004 19:00:00.000,106.130,106.240,105.600,105.910,37680.00
29.01.2004 19:00:00.000,105.930,106.130,105.560,105.660,44280.00
30.01.2004 19:00:00.000,105.660,105.660,105.660,105.660,0.00
31.01.2004 19:00:00.000,105.660,105.810,105.550,105.620,1803.00
01.02.2004 19:00:00.000,105.600,105.770,105.340,105.520,32681.00
02.02.2004 19:00:00.000,105.520,105.860,105.180,105.450,40449.00
03.02.2004 19:00:00.000,105.460,105.650,105.240,105.450,37204.00
04.02.2004 19:00:00.000,105.460,106.050,105.330,105.590,39210.00
05.02.2004 19:00:00.000,105.570,106.800,105.350,105.450,45736.00
06.02.2004 19:00:00.000,105.450,105.450,105.450,105.450,0.00
07.02.2004 19:00:00.000,105.700,106.090,105.490,105.650,2179.00
